Palabra,Puntuacion,Word
virulento,-2,virulent
visión,1,vision
visión,1,visioning
visionario,3,visionary
visiones,1,visions
vitalidad,3,vitality
vitamina,1,vitamin
vitriólico,-3,vitriolic
viudo,-1,widowed
viva,1,alive
vivaz,3,vivacious
vociferante,-1,vociferous
vulnerabilidad,-2,vulnerability
vulnerable,-2,vulnerable
WINWIN,3,winwin
won,3,won
woohoo,3,woohoo
wooo,4,wooo
woow,4,woow
wOWOW,4,wowow
wowww,4,wowww
wtf,-4,wtf
yeees,2,yeees
,-2,blame
,-2,blames
